Abbreviation,Meaning
A.A.R.O.M.,active assistive range of motion
AAC,augmentative and alternative communication
A.B.G,arterial blood gas
a.c.,before meals
A/C,assist control
ADA Diet,American Diabetes Association Diet
A.D.L.,activities of daily living
A.Fib.,atrial fibrillation
AKA,above-knee amputation or above-the-knee amputation
ALS,amyotrophic lateral sclerosis
AMA,against medical advice
A&O,alert and oriented
A/P,anterior–posterior
A.R.O.M.,active range of motion
ASAP,as soon as possible
ASD,autism spectrum disorder
ASL,American Sign Language
b.i.d.,twice a day
BKA,below-knee amputation
B/L,bilateral
B.L.BS,bilateral breath sounds
BMR,basal metabolism rate
BP,blood pressure
BR,bed rest
bs,bowel sounds
BS,breath sounds
B/S,bedside
bx,biopsy
c̅,with
C,"Celsius, centigrade"
CA,cardiac arrest
CA, ca "cancer carcinoma"
CABG,coronary artery bypass graft
CAD,coronary artery disease
cal,calorie
cath,catheter
CBC,complete blood count
cc,cubic centimeter
CC,chief complaint
CHF,"congestive heart failure, chronic heart failure"
CCU,coronary care unit
CHI,closed head injury
cm,centimeter
CMT,continuing medication and treatment
CN,cranial nerve
CNA,certified nursing assistant
CNS,central nervous system
c/o,complains of
COTA,certified occupational therapy assistant
cont,continue(d)
COPD,chronic obstructive pulmonary disease
CP,cerebral palsy
CPAP,continuous positive airway pressure
CPR,cardiopulmonary resuscitation
CRF,chronic renal failure
CRNP,certified registered nurse practitioner
CSF,cerebrospinal fluid
CT,computerized tomography
CV,cardiovascular
CVA,cerebral vascular accident
CXR,chest X-ray
d,day
d/c,discontinue
DC,discharge
DM,diabetes mellitus
DNK,do not know
DNKA,did not keep appointment
DNR,do not resuscitate
DNT,did not test
DOA,dead on arrival
DOB,date of birth
DOE,dyspnea on exertion
d/t,due to
Dx,diagnosis
ECC, EKG electrocardiogram
ED,emergency department
EEG,electroencephalogram
EENT,"eyes, ears, nose, throat"
EMG,electromyogram
ENT,"ears, nose, throat"
ER,emergency room
ETOH,ethanol (alcohol)
exam,examination
ext,"external, exterior"
F,Fahrenheit
FH,family history
fib,fibrillation
fl, fld fluid
FOB,foot of bed
f/u,follow-up
FWB,full weight bearing
Fx,fracture
GB,gall bladder
GCS,Glasgow Coma Scale
GE,gastroenterology
GERD,gastroesophageal reflux disease
G/E,gastroenteritis
gen,general
gest.,gestation
G.I.,gastrointestinal
GNA,geriatric nursing assistant
gluc,glucose
GP,"general practitioner, general paralysis"
GSW,gunshot wound
GTT,glucose tolerance test
Gt. tr.,gait training
GYN,gynecology
h,hour
H/A,headache
HAV,hepatitis A virus
Hb.,hemoglobin
HB,heart block
HBP,high blood pressure
h.d.,at bedtime
HEENT,"head, eyes, ears, nose, throat"
HEP,home exercise program
H2O,water
h/o,history of
HOB,head of bed
H&P,history and physical
HR,heart rate
HTN,hypertension
HVD,hypertensive vascular disease
Hx,history
Hz,hertz (cycles/second)
ICCU,intensive coronary care unit
ICP,intracranial pressure
ICU,intensive care unit
imp.,impression
incr.,increased(ing)
inf,"infusion, inferior"
inspire,"inspiration, inspiratory"
int.,internal
I&O,intake and output
IPPB,intermittent positive pressure breathing
irreg.,irregular
IV,intravenous(ly)
J, jt. joint
K,"potassium, kidney"
L,"left, liver, liter, lower, light, lumbar"
lab,laboratory
lac.,laceration
lat.,lateral
LBW,low birth rate
L.E.,lower extremities
liq.,liquid
L.O.C.,"loss of consciousness, level of consciousness, laxative of choice"
LOS,length of stay
LP,lumbar puncture
LPN,licensed practical nurse
LUE,left upper extremity
Lx,larynx
L&W,living and well
M,"married, male, mother, murmur, meter, mass, molar"
max.,"maximum, maxillary"
MBC,maximum breathing capacity
MBSS,modified barium swallow study
MCA,middle cerebral artery
MD,muscular dystrophy
mdnt.,midnight
med.,medicine
mets.,metastasis
MG,myasthenia gravis
MI,myocardial infarction
min,minute
MICU,medical intensive care unit
mod,moderate
MRI,magnetic resonance imaging
MRSA,methicillin-resistant Staphylococcus aureus
mss,massage
MVA,motor vehicle accident
Na,sodium
NaCl,sodium chloride
NAD,"no abnormality detected"
NAD,"no apparent distress"
neg.,negative
NG,nasogastric
NICU,neonatal intensive care unit
NKA,no known allergies
no.,number
NOS,not otherwise specified
NPO,nothing by mouth
NST,nonstress test
N&V,nausea and vomiting
NVD,"nausea, vomiting, diarrhea"
NWB,non–weight bearing
NYD,not yet diagnosed
O2,oxygen
O2 sat.,oxygen saturation
OA,osteoarthritis
OB/GYN,obstetrics and gynecology
Obs,observation
ODD,oppositional defiant disorder
O/E,on examination
OH,occupational history
OHD,organic heart disease
oint.,ointment
OOB,out of bed
OR,operating room
PA,physician’s assistant
PACU,post anesthesia care unit
PAF,paroxysmal atrial fibrillation
PD,Parkinson’s disease
PE,"physical exam, pulmonary embolism"
PEEP,positive end-expiratory pressure
PEG,percutaneous endoscopic gastrostomy
PET,positron emission tomography
PH,past history
PMH,past medical history
PNX,pneumothorax
p.o.,by mouth
PRN,as needed
PROM,passive range of motion
PSH,past surgical history
pt.,patient
PT,physical therapy
PUD,peptic ulcer disease
PVD,peripheral vascular disease
q,every
q.h.,every hour
q.i.d.,four times a day
R,right
RA,"rheumatoid arthritis, right atrium"
RBC,red blood cell
RN,registered nurse
ROM,range of motion
ROS,review of symptoms
RT,respiratory therapy
Rx,"therapy, prescription"
SOB,shortness of breath
STAT,immediately
STD,sexually transmitted disease
Sx,symptoms
T,temperature
TB,tuberculosis
TBI,traumatic brain injury
TKR,total knee replacement
TPN,total parenteral nutrition
Tx,treatment
U/A,urinalysis
URI,upper respiratory infection
UTI,urinary tract infection
VA,visual acuity
VF,ventricular fibrillation
VS,vital signs
W/C,wheelchair
WNL,within normal limits
wt.,weight
x,times
y.o.,years old
yrs.,years